loss -> tensor(1.2069, grad_fn=<AddBackward0>)
loss -> tensor(1.222, grad_fn=<AddBackward0>)
loss -> tensor(2.0198, grad_fn=<AddBackward0>)
loss -> tensor(2.003, grad_fn=<AddBackward0>)
loss -> tensor(1.571, grad_fn=<AddBackward0>)
loss -> tensor(1.7873, grad_fn=<AddBackward0>)
loss -> tensor(1.2061, grad_fn=<AddBackward0>)
loss -> tensor(1.8004, grad_fn=<AddBackward0>)
loss -> tensor(1.4937, grad_fn=<AddBackward0>)
loss -> tensor(1.3746, grad_fn=<AddBackward0>)
loss -> tensor(1.6987, grad_fn=<AddBackward0>)
loss -> tensor(1.6383, grad_fn=<AddBackward0>)
loss -> tensor(1.2901, grad_fn=<AddBackward0>)
loss -> tensor(1.758, grad_fn=<AddBackward0>)
loss -> tensor(1.7588, grad_fn=<AddBackward0>)
loss -> tensor(1.3827, grad_fn=<AddBackward0>)
loss -> tensor(1.4584, grad_fn=<AddBackward0>)
loss -> tensor(1.975, grad_fn=<AddBackward0>)
loss -> tensor(1.501, grad_fn=<AddBackward0>)
loss -> tensor(1.8362, grad_fn=<AddBackward0>)
loss -> tensor(1.9695, grad_fn=<AddBackward0>)
loss -> tensor(1.3652, grad_fn=<AddBackward0>)
loss -> tensor(1.7319, grad_fn=<AddBackward0>)
loss -> tensor(1.7457, grad_fn=<AddBackward0>)
loss -> tensor(1.9695, grad_fn=<AddBackward0>)
loss -> tensor(1.4695, grad_fn=<AddBackward0>)
loss -> tensor(1.3721, grad_fn=<AddBackward0>)
loss -> tensor(1.9411, grad_fn=<AddBackward0>)
loss -> tensor(1.9433, grad_fn=<AddBackward0>)
loss -> tensor(1.4325, grad_fn=<AddBackward0>)
loss -> tensor(1.8159, grad_fn=<AddBackward0>)
loss -> tensor(1.3085, grad_fn=<AddBackward0>)
loss -> tensor(1.6693, grad_fn=<AddBackward0>)
loss -> tensor(1.8986, grad_fn=<AddBackward0>)
loss -> tensor(1.6055, grad_fn=<AddBackward0>)
loss -> tensor(1.8332, grad_fn=<AddBackward0>)
loss -> tensor(1.8297, grad_fn=<AddBackward0>)
loss -> tensor(1.5934, grad_fn=<AddBackward0>)
loss -> tensor(1.9307, grad_fn=<AddBackward0>)
loss -> tensor(1.2679, grad_fn=<AddBackward0>)
loss -> tensor(1.7323, grad_fn=<AddBackward0>)
loss -> tensor(1.9849, grad_fn=<AddBackward0>)
loss -> tensor(1.3148, grad_fn=<AddBackward0>)
loss -> tensor(1.8876, grad_fn=<AddBackward0>)
loss -> tensor(1.8671, grad_fn=<AddBackward0>)
loss -> tensor(1.9508, grad_fn=<AddBackward0>)
loss -> tensor(1.3523, grad_fn=<AddBackward0>)
loss -> tensor(1.686, grad_fn=<AddBackward0>)
loss -> tensor(1.8707, grad_fn=<AddBackward0>)
loss -> tensor(1.7523, grad_fn=<AddBackward0>)
loss -> tensor(1.7839, grad_fn=<AddBackward0>)
loss -> tensor(1.5824, grad_fn=<AddBackward0>)
loss -> tensor(2.013, grad_fn=<AddBackward0>)
loss -> tensor(1.2235, grad_fn=<AddBackward0>)
loss -> tensor(1.8535, grad_fn=<AddBackward0>)
loss -> tensor(1.7852, grad_fn=<AddBackward0>)
loss -> tensor(1.5045, grad_fn=<AddBackward0>)
loss -> tensor(1.6791, grad_fn=<AddBackward0>)
loss -> tensor(1.8846, grad_fn=<AddBackward0>)
loss -> tensor(1.4094, grad_fn=<AddBackward0>)
loss -> tensor(1.9866, grad_fn=<AddBackward0>)
loss -> tensor(1.4939, grad_fn=<AddBackward0>)
loss -> tensor(1.5027, grad_fn=<AddBackward0>)
loss -> tensor(1.2779, grad_fn=<AddBackward0>)
loss -> tensor(1.5389, grad_fn=<AddBackward0>)
loss -> tensor(2.0031, grad_fn=<AddBackward0>)
loss -> tensor(1.4352, grad_fn=<AddBackward0>)
loss -> tensor(1.2565, grad_fn=<AddBackward0>)
loss -> tensor(1.635, grad_fn=<AddBackward0>)
loss -> tensor(1.5681, grad_fn=<AddBackward0>)
loss -> tensor(1.6947, grad_fn=<AddBackward0>)
loss -> tensor(1.83, grad_fn=<AddBackward0>)
loss -> tensor(1.7621, grad_fn=<AddBackward0>)
loss -> tensor(1.8922, grad_fn=<AddBackward0>)
loss -> tensor(1.521, grad_fn=<AddBackward0>)
loss -> tensor(1.522, grad_fn=<AddBackward0>)
loss -> tensor(1.5113, grad_fn=<AddBackward0>)
loss -> tensor(1.3163, grad_fn=<AddBackward0>)
loss -> tensor(1.8354, grad_fn=<AddBackward0>)
loss -> tensor(1.6231, grad_fn=<AddBackward0>)
loss -> tensor(1.7368, grad_fn=<AddBackward0>)
loss -> tensor(1.9633, grad_fn=<AddBackward0>)
loss -> tensor(1.4151, grad_fn=<AddBackward0>)
loss -> tensor(1.7796, grad_fn=<AddBackward0>)
loss -> tensor(1.6425, grad_fn=<AddBackward0>)
loss -> tensor(1.5972, grad_fn=<AddBackward0>)
loss -> tensor(1.4903, grad_fn=<AddBackward0>)
loss -> tensor(2.0177, grad_fn=<AddBackward0>)
loss -> tensor(1.5572, grad_fn=<AddBackward0>)
loss -> tensor(1.5644, grad_fn=<AddBackward0>)
loss -> tensor(1.8793, grad_fn=<AddBackward0>)
loss -> tensor(1.8677, grad_fn=<AddBackward0>)
loss -> tensor(1.8819, grad_fn=<AddBackward0>)
loss -> tensor(1.2225, grad_fn=<AddBackward0>)
